Số 02, LK48
Tầng 6, tòa nhà Sannam
ô đất số 13, lô 6
Số nhà 36F Phố Dịch Vọng Hậu, Tổ 27
20A, Khu A10 Nam Trung Yên
Tầng 8, tòa nhà Sannam
Tầng 10, Pacific Place
P2608, Tầng 26
số nhà 10, ngõ 69 Thôn Hạ
Số nhà 21, Tổ 1
Số 8, Ngõ 157
Xóm 1, Thôn Hải Bối
Xóm 10, Thôn Đoàn Kết
Số Nhà 20 Ngõ 6 Tổ dân phố 1, Đường Đông Ngạc
Xóm 1, Quỳnh Đô
Lô A2.10.P01, khu đô thị Thanh Hà
Số nhà 18, ngách 49/291 đường Khương Trung
Tầng 6, Lô 8
Số 59, ngõ 228
Cửa hàng số CH, 01
B5, 10 Lotus 2
Số 19, TT4.2
Số 44, ngách 89/19 phố Bằng Liệt
6, TM3
số 1, Q6 Tân Mai
Tầng 2, Chung cư Nơ 14A
Nhà số 21 ngõ 179, tổ dân phố số 9
Số 27, ngách 61/15
Số 21, Liền kề 6
SN M52, Tổ dân phố 1
Số nhà 3/59, ngõ 521 Trương Định
Lô 4, khu 2 cạnh nhà máy Dệt may 8/3
Tầng 4, lô 67
Số nhà 12, liền kề 14
Số 31 đường Thọ Tháp, Phường Dịch Vọng
Tầng 11, Tòa nhà Việt á
Số 26, ngõ 247 phố Định Công Thượng
Số 111, ngõ 38
Lô CK2, 09 Làng Nghề Dệt Lụa Vạn Phúc
Tầng 6 Tòa nhà MD Complex, số 68 Nguyễn Cơ Thạch
Số 15, làng nghề Kiêu Kỵ
BT5 X2, So�� 36 Nguye��n Hu��u Thọ
Lô 11 DV 09, Khu đô thị Tây Nam Linh Đàm
Shophouse 01S11, Toà S103
Số nhà 24, ngõ 278/9
Số 35, ngách 99/141/5 Phố Định Công Hạ
Tầng 13 Hanoi Tower, 49 Hai Bà Trưng
Số 20, Đường Yên Bái 2
Tầng 10 Toà nhà VTC, số 18 phố Tam Trinh
Tầng 2, Tòa nhà Detech Tower
Số 9, ngõ 201 đường Cầu Giấy
Tầng 8, Số 85
Xóm 2, thôn Long Phú
Đội 1, Thôn Đông Thượng
Đội 3, thôn Quyết Tiến
Số 2 ngách 106/16, ngõ Gốc Đề
ô số 19, Khu X1
Số nhà 21, ngách 47/29
Số 8, Ngõ 22 đường Đức Thắng
Số nhà 92 ngõ 4 tổ 6, Tổ dân phố Tân Bình
Số 311 Cổ Nhuế, Phường Cổ Nhuế 2
Số 356 Lacasta, khu đô thị mới Văn Phú
LK13, 09
Số 2, Dãy A1
Nhà số 2, ngách 16
Cụm Công Nghiệp vừa và nhỏ Nguyên Khê, Xã Nguyên Khê
NO10, LK10
Số 37D5 Khu giãn dân Yên Phúc, tổ dân phố số 5
Số nhà 126, Đường Tân Phong
Tầng 5, Tòa nhà cao tầng hỗn hợp Văn phòng
Tầng 5, Số 5B ngõ 55 Huỳnh Thúc Kháng
số 7 phố Triệu Việt Vương, Phường Nguyễn Du
Tầng 3, Số 24 Hoà Mã
Số 5A, ngõ 168 Trung Kính
Số nhà 166, phố Triều Khúc
Số 9, ngõ 1194/73/6 Đường Láng
Số 10, ngõ 335/28/8 đường An Dương Vương
Số 12 ngách 3, Ngõ 18 Xóm Lăng
Số 107, ngõ 318 La Thành
42, Đoàn Thị Điểm
Tầng 4 Toà Lecapitol, 27 Thái Thịnh
Shophouse V8, A01 Đô thị mới The Terra An Hưng
Tầng 4, Số 229 Quang Trung
Số 10, ngõ 10
Tầng 2, số 168 ngõ Trại Cá
Tầng 3, số 168 ngõ Trại Cá
Số nhà 03, Tổ dân phố Phú Thứ
Phòng 6 Tầng 11, Tòa nhà Capital Place
189 Nguyễn Ngọc Vũ, Phường Trung Hoà
Số 196, thôn Đản Dị
Số 35, Ngõ 170 đường Hoàng Ngân
Thôn Đống Xung, Xã Thắng Lợi
Số nhà 239, đường 419
Thôn 4, Xã Canh Nậu
KCN Phùng Xá, Xã Phùng Xá
SHP1, 31
Số 11, ngách 7
Số 2 Ngọc Hà, Phường Ngọc Hà
Số 5B ngách 147A/60 phố Tân Mai, tổ 68
Thôn Địch Trung, Xã Phương Đình
Cụm 7, Xã Tân Lập
Số 5 Ngõ 27 Phố Phú Thượng, Phường Phú Thượng
Số 19, ngách 32/65
Số 6 ngõ 50 Từ Hoa, Phường Quảng An
Số 33, Ngõ 22
Số 5 Ngách 32A/24 Phố Hào Nam, Phường ô Chợ Dừa
Số 8C, Xóm Đề 1
185/9/34 Đường Chùa Láng, Phường Láng Thượng
Phòng 601, tầng 6
Phòng 403 Tòa nhà Ocean Park số1 Đào Duy Anh, Phường Phương Mai
Tầng 3, Số 7 ngõ 25 đường Võ Văn Dũng
Số 311 Đường Trường Chinh, Phường Khương Mai
Số 100 ngõ 211 phố Khương Trung, Phường Khương Đình
Khu tập thể Công an Tỉnh, Xa La
Số 374 đường Kim Giang, Phường Đại Kim
Thôn Rùa Thượng, Xã Thanh Thùy
Thôn Minh Kha, Xã Bình Minh
ô 50, Lô E2/D21 Khu đô thị mới Cầu Giấy
Số 159, đường Nguyễn Khang
Tầng 10 tòa nhà Việt á, số 9 phố Duy Tân
Số nhà 47A ngách 58/23/41 Trần Bình, Phường Mai Dịch
Tầng 10, Tòa Việt á
Số 05 Lô 01C Khu đô thị Trung Yên, Phường Trung Hoà
Số 2 ngõ 174, Tổ 4
Số 40 Ngõ 5 Phố Hoàng Sâm, Phường Nghĩa Đô
Số 126 ngõ 189 phố Nguyễn Ngọc Vũ, Phường Trung Hoà
Số 204 Hoàng Ngân, Phường Trung Hoà
Số 113C, Ngõ Gốc Đề
Số 21 ngách 2 ngõ Vạc, Thôn Mùi
Thôn Từ Am, Xã Thanh Thùy
Số 25L8, đường Louis 8
Số 16 Ngách 24/111 Ngõ 24 phố Kim Đồng, Phường Giáp Bát
Số 5 ngách 49 ngõ 294 Lĩnh Nam, Phường Trần Phú
Số 24, ngõ 14
Số nhà 11, ngách 5 ngõ 31 Cầu Diễn
Biệt thự số BT1, 22
Số 31, Ngõ 521
Tầng 4 tòa HH, N01 dự án Goldseason số 47 Nguyễn Tuân
Số 82, ngõ 112 Ngọc Khánh
Đội 9 Thôn Phù Trì, Xã Kim Hoa
Lô D04, L42
Phòng 17 Tầng 24, Tòa G3 Vinhomes Green Bay
Căn hộ 09, Nhà N2
Số nhà 7, ngách 42
Số 29, Khu 23
Phòng 1608 Tầng 16 Tòa A3 Ecolife 58 Tố Hữu, Phường Mễ Trì
Nhà 6 Lô 6 Khu đô thị Nam Thắng, đường Phùng Khoang
Tầng 3, Toà CT2
Tầng 3, tòa nhà DETECH
Số 14, hẻm 66 ngách 16/47
ô số 08, Lô A23
Số 7 � LK7, Khu Đô Thị An Khánh � An Thượng (Hado Charm Vill
Số 58, 60 Trần Phú
Phòng 8, Tầng 5
Số 646, đường Ngọc Thụy
Thôn Du Nội, Xã Mai Lâm
Số 102 Tam Trinh, Phường Yên Sở
Số nhà 05, ngõ 2 Ngô Thì Nhậm
Tầng 7, Mac Plaza
Số nhà 201 đường Hải âu 2 Vinhomes Ocean Park, Xã Kiêu Kỵ
B1 Khu Công nghiệp Vinh Quang, Xã Ninh Hiệp
Số I31 Đường Foresa 1, Phường Xuân Phương
Số nhà 3, liền kề 26
Thôn 2B, Xã Canh Nậu
288 Trần Khát Chân, Phường Thanh Nhàn
Số 23 B2+3 Khu Đầm Trấu, Phường Bạch Đằng
Lô 06, 07 Shophouse Vạn Phúc
Thôn Tiên Hùng, Xã Nguyên Khê
Số 14 ngõ 89 Đàm Quang Trung, Phường Long Biên
130 phố Kim Hoa, Phường Phương Liên
Số 1, thôn Thống Nhất
Số nhà 37, Ngõ 67
Số 23, ngõ 82 phố Mễ Trì Hạ
Số 119 Mỹ Đình, Phường Mỹ Đình 2
Tầng 2, Toà nhà AT Building
Thôn Ngãi Cầu, Xã An Khánh
Tầng 5, Số 24
Số 41 Lý Thái Tổ, Phường Lý Thái Tổ
Số 59 Ngõ 129 phố Đại Linh, Phường Trung Văn
NV6.8 khu đô thị chức năng Tây Mỗ, đường Hữu Hưng
A110, BT2A
Số 114 Ngõ 8 Đường Lê Quang Đạo, Phường Phú Đô
Tầng 21, Tòa nhà Viwaseen
Số 44 đường Lương Thế Vinh, Phường Trung Văn
BT32, Lô C1
Số 24 ngách 34 ngõ 118 Đào Tấn, Phường Cống Vị
Số 9C ngõ 181 Xuân Thuỷ, Phường Dịch Vọng Hậu
Số 25 ngõ 45 Trần Thái Tông, Phường Dịch Vọng
Số 57 Nguyễn Đình Thi, Phường Thuỵ Khuê
Số 138 Yên Lãng, Phường Thịnh Quang
102 Thạch Cầu, Phường Long Biên
Cụm 1, Quỳnh Đô
Số 89 đường nước Phần Lan, Phường Tứ Liên
Số nhà 32, Tổ 1 Đường ô tô số 8
K5, 09
Số nhà 29, tổ 4
Số nhà 15, Ngõ Giữa
Số 120 Đường Nguyễn Hoàng Tôn, Phường Xuân La
Số 39 Ngõ 222 Lê Duẩn, Phường Khâm Thiên
20BT2 Khu đô thị mới Cầu Bươu, Xã Tân Triều
Phòng 103, Số 37 Hùng Vương
Thôn Tảo Khê, Xã An Mỹ
Số 2, dãy 7
Số 10 ngách 112 Ngõ 43 Tổ dân phố Đống 6, Phường Cổ Nhuế 2
Số 275 Nguyễn Trãi, Phường Thanh Xuân Trung
Số 1C, đường Trường Chinh
Số 18 ngách 71/66 Hoàng Văn Thái, Phường Khương Trung
Tầng 2, Số 3 Thôn Tân Dân 1
Số 4 ngõ 442 Vĩnh Hưng, Phường Vĩnh Hưng
Thôn 7, Xã Cát Quế
Tầng 4 toà nhà HUD3 tower, Số 121
Số 61A Đường Đinh Tiên Hoàng, Phường Lý Thái Tổ
Số 126 ngõ 268 Ngọc Thụy, Phường Ngọc Thuỵ
Thôn Thắng Hữu, Xã Minh Trí
Thôn Hương Đình, Xã Mai Đình
Tầng 1, số 8
Số 282 Đường Mễ Trì Thượng, Phường Mễ Trì
Số 21C, ngõ 153/30 Châu Văn Liêm
Số 451 Vũ Tông Phan, Phường Thanh Xuân Trung
Số nhà CL21, Khu Đô Thị Nam La Khê
Tầng 11, Tòa nhà Zen Tower
., Xã Đông Mỹ
Tổ 33, Phường Yên Hoà
Tầng 12 Tòa nhà Diamond Flower, số 48 Lê Văn Lương
Tầng 16, Tòa Việt á
Số 6 ngõ 12 Hàm Nghi, Phường Mỹ Đình 2
Thôn 2, Xã Cát Quế
Căn hộ văn phòng số 206, tầng 2
Quốc lộ 32, thôn Thượng Thụy
Số 15 ngách 86/2 đường Nguyễn Văn Giáp, Phường Cầu Diễn
B103 Tầng 1, Tháp B
Nhà số 2, Ngách 9
Thôn Khê Ngoại 3, Xã Văn Khê
Tầng 14, Tòa nhà Việt á
17 W Park BLVD Sunrise E, Khu Đô Thị The Manor Central Park
Số 5 đường 8, 3
Số 20, ngách 1008/21 đường Quang Trung
Số 13 TT24 KĐT Văn Phú, Đường Trần Đăng Ninh kéo dài
Số 1 Dãy C1, Khu Phố 7 Đường Phùng Hưng
Số 73 đường Gia Thượng, Tổ 18
Số nhà 106, ngách 106/94
Khu TDC 31ha, Ngõ 127 Ngô Xuân Quảng
Số 14, ngõ 54
Số 6A, ngõ 24 đường Võ Chí Công
Tầng 16 Tòa nhà Việt á, Số 9 Phố Duy Tân
Tầng 6 Tòa nhà Việt á, Số 9 Phố Duy Tân
Số 19, ngõ 124
Nhà số 4, ngõ 1 đường Đoàn Kết
Số 2A, nhà G4B Thành Công
Số 10 , ngõ 100
Tầng 3, số 22
Tầng 4, Tòa nhà HUD3 Tower
Nhà Số 9, Ngõ 20 Bùi Xương Trạch
Số 33, phố Bà Triệu
Số nhà 82, khu đất DV
Số nhà 24, Ngõ 241 Đường Chiến Thắng
Số 2, Hẻm 640/21/12 Nguyễn Văn Cừ
LK17, L15 Khu Mậu Lương
Số 15/40, ngõ 96
Xóm ngõ Hậu, Thôn Hậu Xá
Số nhà 15, Ngõ 1 Lý Tự Trọng
Thửa YT31, khu đấu giá quyền sử dụng đất Yên Thành
Số 38, Liền kề 10
Số 40 Lô 7, Đền Lừ 2
Liền kề 09, TT02
Số nhà 20, ngõ 142 Kim Giang
ô số 10, dãy B
Miêu Nha 1, Phường Tây Mỗ
P704 và P705, Tầng 7
Lô CN, 7
Tầng 3, Tòa nhà HD Mon
Số 2, Ngõ 4 Vạn Phúc
Số 18, Ngõ 156 Phố Hồng Mai
Số 30B ngõ 192 Đường Tựu Liệt, Xã Tam Hiệp
Tầng 1 toà nhà Vimeco Lô E9, đường Phạm Hùng
Số nhà 68, ngõ 82 Nguyễn Phúc Lai
Số nhà 8 Ngõ 2, Hà Trì 2
Tầng 9, Toà nhà 3D số 3 phố Duy Tân
Tầng 22, Tòa nhà Vpbank
Tầng 23 Tòa nhà Vinaconex 9, đường Phạm Hùng
Số 14, Ngõ 2 Đại lộ Thăng Long
Tầng 7, Số 113
Tầng 3 Biệt thự NV11, KĐT Mễ Trì Hạ
Số nhà 10, Ngách 82/40
Số nhà 123, La Casta Khu đô thị Văn Phú
Tầng 1, tháp A
Số 22, ngõ 135 Đội Cấn
Số 20C, ngõ 20 phố Hào Nam
Tầng 7, Office Tower
Số 6, ngách 11
Số 30, đường Thụy Phương
Số 33, Ngách 128
Tầng 11 Tòa nhà ZenTower, Số 12 Khuất Duy Tiến
Phòng 1001, Tòa nhà Kim ánh
Tầng 3 Tòa văn phòng T26, Khu đô thị Times City
Số 9, phố Đỗ Hành
Liền kề 22, Khu đô thị C37 Bắc Hà
Số nhà 30, ngõ 8/11/36/79 tổ dân phố 5
Số nhà 03 ngõ 19, Đường Minh Khai
Tầng 15, Khối B
Số 2, Ngõ 110 Đường Mỹ Đình
Cụm 1, thôn Quỳnh Đô
Số 48, Ngách 53
số 69, ngõ 189 đường Cầu Diễn
Số nhà 1, lô 15B Khu đô thị Trung Yên
Tầng 14, Tòa nhà Detech Tower II
206, 02 tầng 2
Số nhà 17, Ngõ 107 Phố Trần Cung
Xóm 1, Thôn Vĩnh Thanh
Số nhà 112, Tổ 6
Số 2B, Ngõ 101/7 Tổ 12 Phố Trạm
Số 172, phố Hàng Bông
Đội 1, thôn Võng La
Nhà số 10, tập thể công an Xa La
Số nhà 01 Ngõ 06, Đường Tố Hữu
Số 5, Ngõ 18 phố Thanh Bình
Số nhà 14, ngách 1
Nhà số 1, Thôn 1 Bát Tràng
Tầng 02, Tòa Thanh Xuân Complex
FA17, Khu Đô thị Thiên Đường Bảo Sơn
S3OF15A, Khu văn phòng Vinhomes Skylake
Số nhà 106, ngõ 68 Nguyên Hồng
Số 51, ngõ 168/80 đường Phan Trọng Tuệ
Số 38, Đội 1
Tầng 4, Cung trí thức Thành phố
thôn 1, xóm Cổng Nhất
Số 17, đường Hoàng Thế Thiện
Tầng 4, Tòa nhà Times Tower
Tầng 3, Tòa nhà 21T1 Hapulico Complex
Căn T04, Lô TT01 Cụm công nghiệp Ninh Hiệp
Số nhà 233 đường Trâu Quỳ, Tổ dân phố An Đào
Số nhà A39, khu đấu giá Phú Lương
Tầng 19, Tòa nhà Gelex
Số 58B Tổ 1 Mỗ Lao, Tổ Dân Phố 06
Xóm 3, Thôn Cấn Hạ
Số nhà 19, ngõ 83/95 đường Tân Triều
Số 6, Ngõ 66a Triều Khúc
Số 24, ngách 32 ngõ 127 Lạc Long Quân
Tầng 23, Tòa nhà Vinaconex 9
Số 519, Đường Minh Khai
Số nhà 61A, ngõ 65 Kẻ Tạnh
Số 70, TT1 Khu đô thị mới Văn Phú
Tầng 4, tòa nhà HUD3 Tower
Tầng 2, ô 88
Tầng 7 Tòa nhà văn phòng CEO, Lô HH2
Số nhà 55, ngõ 823 Hồng Hà
Đọ�i 7, thôn Trát Ca��u
Tổ dân phố đường 181, phố Keo
BT01, Khu Đô Thị Bắc Hà
Số 30, đường Trần Lư
Số 1C, phố Tràng Tiền
Số 3, ngách 95/29 Võng Thị
N3, 6 dự án nhà bán Xuân La
Đội 3, thôn Cao Sơn
Tầng K2 Toà B, Toà nhà Việt Đức Complex
Số 90, ngõ 193/64 Phú Diễn
SN 5, 259/55/45 Đường Phú Diễn
Số 213, Đường âu cơ
Số 8, ngõ 200 Phố Ngọc Trì
Tầng 2, Tòa nhà The Garden Hill
Phòng 1125, tầng 11
Biệt thự NQ9, 20 Khu đô thị Vinhomes Riverside The Harmony
Tầng 8, Tòa nhà Số 14 Láng Hạ
Tầng trệt, nhà G1
Số nhà 44 đuờng Tiến Thành, thôn La Dương
Số nhà 4, ngõ 40
Số 151, phố Yên Phụ
Số 45A, ngõ 595 Lĩnh Nam
Số 14 ngõ 292/51 Kim Giang, tổ 23
TT 18 Khu liền kề Irish Garden, Số 19 Ngõ 61
Số nhà 14, ngách 59/32
Tầng 4, C16
Số 12, Ngách 32/74
BT 1.5 KĐT Viglacera, đường Hữu Hưng
G3, 1815
Tầng 19, Tòa nhà Viwaseen
Số 6, ngõ 87
ô quy hoạch E.1/DS, đường Nguyễn Văn Linh
Biệt thự 03 lô NO4A Dịch Vọng, đườn Thọ Tháp
Số 3, ngõ 158 đường Nguyễn Khánh Toàn
SO02 Tầng L1, T01
Số 2, Ngách 191/28
Số 4A, ngõ 195/16/2 Vũ Xuân Thiều
So�� 8, Ngõ 172/1 Đường Xua�n Đỉnh
Số 18 Ngõ Quỳnh, phố Bạch Mai
Số 1B1 Tổ 5, Tổ dân phố Dốc Lã
Số nhà 11, Dãy 5
Tầng 4, Tòa nhà Anh Minh
Đội 1, Thôn Đông Hạ
Tầng 3, Số 185 Chùa Láng
N3, X1
Số 30 Ngõ 79, Thụy Khuê
Lô A21, D7 Đường số 2
Tầng 10 Tòa nhà Việt á, số 9 phố Duy Tân
Tầng 7, Tòa nhà Zen Tower
Số 11, ngõ 156 Lê Trọng Tấn
Số 21, ngách 5
Lô B18 Tiền Phong, Khu 3ha
Số 8, ngách 1
Số 119, phố Viên
Số nhà 03, ngách 95/65A/2 Phố Thúy Lĩnh
Số A3, 33
Tầng 6, Số 22 Thành Công
Khu 2, Thôn Nội Đồng
ô dịch vụ số 01, tầng 31
Số 38, ngách 1
Phòng 901C, tòa nhà mặt trời Sông Hồng
Tầng 3A, Tòa nhà Hiền Đức
Số 12, ngõ 56
Khu nàh ở XH cho Cán bộ chiến sĩ BCA, ngõ 43 Đường Cổ Nhuế
Số 20A, Ngõ 162/4 Đường Nguyễn Văn Cừ
Số 31, Ngách 3/5
Số 16, Ngõ 267/2 đường Hoàng Hoa Thám
NV 5.9 Khu chức năng đô thị Tây Mỗ, đường Hữu Hưng
Số nhà 31 Đường Nhuệ Giang, Tổ dân phố Nhuệ Giang
Tầng 2,Số nhà 21BT1
Số nhà 15, nghách 9 ngõ 63
Số 55 ngõ 6, phố Kim Đồng
Số 10, Ngõ đình 2
P1104, Tòa Lake View
Tầng 5, Tòa nhà Eurowindow Multicomplex
Nhà R4.10, Khu đô thị Eden Rose
Số 9, ngõ 460 âu Cơ
Số 10 ngõ 163 An Dương Vương, Tổ 31
Số nhà 30, ngõ 131
Số 57B, ngách 94/87 phố Thượng Thanh
Số 23, ngõ 140
Số nhà 1, ngách 6
Nhà số 5, khu nhà Liền Kề
Số 22G, ngõ 31/46 đường Xuân Diệu
Tầng 2, Nhà R4.10
Số 70, An Dương
Số nhà 47, Ngõ 82 Nguyễn Phúc Lai
Tầng 4, tòa nhà văn phòng Fafilm
Số 6, Khu B
Số 30, ngõ 1
Số 5, ngách 95/28
Số nhà 20, Ngõ 1 Nghách 1
BT07, 02
Nhà phố Thương mại số SHP2, 22
Số 9 Ngõ 65 phố Mai Dịch, Phường Mai Dịch
Căn 4NV1C, 3 khu đô thị The Manor Central Park
Xóm 4, Thôn Bắc Vọng
Số 20, ngõ 71 Láng Hạ
Số 14, ngõ 421 Lĩnh Nam
Số 254, Phố Tây Sơn
Tầng 1, 124 Yên Phụ
Số 3, G1
Số 7, Ngách 162A/7 Tôn Đức Thắng
Tầng 2, CT13
Đội 1, Thôn 3
Tầng 7, số 49 Thái Hà
Tầng 3, Số 86 Đường Trần Tử Bình
Số nhà 24, ngõ 87
Số 70B, Tổ 32 Đường Minh Khai
Số nhà 27, xóm Chùa
Xóm Chùa, Khu III
Tầng 6, tòa nhà Vinaconex 9
Lô L107 Tầng 1, tòa nhà HH3
Số nhà 01, dãy C2
C5, NV3 ô số 19
Số 10, ngách 604/35 Ngọc Thụy
Số nhà 3, đường Nguyễn Mậu Tài
Số 46B, ngõ 649
TT 7A5, KĐTM Đại Kim
Tầng 1 số 32 Quan Thổ 2,phố Tôn Đức Thắng
LK17, L15
Lô 121 ngõ 4, Hà Trì 4
Số nhà 24 Ngõ Cừ, Tổ 1
Tầng 8, Tòa nhà Sannam
Căn 03A.05, Tòa nhà C2 D'Capitale
Lô A4 Khu đô thị Nam Trung Yên, đường Nguyễn Thị Duệ
Ngõ 7, Đường Phú Mỹ
Số 4, ngõ 46 phố Khương Thượng
Số 8, ngõ 38 phố Miếu Đầm
Xóm Nông, thôn Phù Dực 2
Số 24, ngõ 88
Tầng 3, số 18 đường Phạm Hùng
Tầng 6 toà nhà Sông Đà 9, Số 2 đường Nguyễn Hoàng
A38 NV16, Số 25 Lê Trọng Tấn
Số 4, ngõ 1H
Tầng 3 toà nhà Điện Biên, Số 9A phố Nguyễn Hy Quang
Số 16 Louis II, Khu Đô Thị Louis Ngọc Đại
Số nhà 14A, ngõ 533 Giải Phóng
so�� 85, đu�o��ng Đoàn Ke��t
Số nhà 505, Ngách 147/2 Tân Mai
Số 42, đường Phạm Thận Duật
89, đường Phạm Văn Đồng
Nhà 1, liền kề 6
Tầng 6, Số 311 Đường Trường Chinh
Xóm 5, Thôn Ngãi Cầu
Số 5, Ngõ 138 khu tập thể tổng kho
Tầng 4, Toà nhà HUD3 Tower
Số 29, Thôn Đại Sơn
Tầng 8, Tòa TNR
Số nhà 41, tổ dân phố số 10
Tầng 6, Tòa nhà TTG Tower
Tầng 2, nhà số 10
Số 10, ngõ 295
Tầng 29, Tòa Đông
74A, ngõ 565 Lạc Long Quân
Số 9 ngách 15/1 xóm Chùa, thôn Đìa
Số 8, Ngõ 3
Số SB23, 107
Số nhà 8, Ngõ A2
Nhà số 3, ngõ 43 Nghiêm Xuân Yêm
Lô B1, Điểm Công Nghiệp Cơ Kim Khí
Số 72, hẻm 1/62/23 Bùi Xương Trạch
Số 4 ngách 48, Ngõ 144
Đội 6, Thôn Sơn Trung
Số 166, Đường Hữu Hưng
Số 113, 115 pho�� Nguye��n Khuye��n
Tầng 7, Tòa Nhà Việt á Tower
Số 29E, Khu biệt thự A10 Nam Trung Yên
Lô 603 tòa nhà Luxury Park Views, số 32D
Lô A2.7 Khu đô thị Thanh Hà A, Cienco5
tầng 2, tòa 17T4 Hapulico Complex
BT10, Tòa C37 Bộ Công an
Tầng 21, Toà nhà MD Complex
Số nhà 41, đường Lê Xuân Điệp
Số 1/12/18, ngõ 34
Tầng 19, Tòa nhà Văn phòng Nam Cường
C11, Lô 9 Khu Đô thị mới Định Công
Tầng 16, Tòa nhà văn phòng Daeha Business Center
Số 7B1, phố Nguyễn Cảnh Dị
Đội 2, Thôn Tả Thanh Oai
Đội 5, Thôn Dương Tảo
Thôn Song Khê, Xã Tam Hưng
Số nhà 37 , thôn Thiên Đông
Số 14B/P4 ngõ 147/81 Tân Mai, Phường Tân Mai
Tầng 3, Tháp T2 Times Tower
Lô NO14, LK460
L12, L03 Phân khu A
Số nhà 30, ngõ 109 Cầu Giấy
Nhà 32, ngõ 171 Nguyễn Ngọc Vũ
Số 25, ngõ 114 Hoàng Ngân
Số 35, 37 ngõ 59 phố Hoàng Cầu
Số 108 ngõ 401, đường Xuân Đỉnh
Tầng 6, Tháp A
Tầng 11, Tòa nhà Văn phòng Việt á
Ta��ng 12, Diamond Flower Tower
Số 120 ngách 14 lô C, ngõ 133 ktt Thuốc Lá Thăng Long
Tầng 1, số 63
Số 43, Tổ dân phố Bắc Sơn
Tầng 12, toà nhà Capital Buidling
Số 50B, phố Mai Hắc Đế
Xóm 10, Thôn Đạo Tú
C11, NV4 ô số 10
Số LK6B, 30 � Khu C17
DV24, LK604 Khu đất dịch vụ Hòa Bình
Số nhà 3, Ngõ 1132
Nhà số 01, LK1
Số 51C Ngõ 123 Xuân Thủy, Tổ 46
Số nhà 37A, ngõ 241
Đội 10, thôn Siêu Quần
Số Nhà 82, Ngõ Quỳnh Lân 2
Số nhà A5, ngõ 699 Lạc Long Quân
Số 8, ngõ 281 đường Tam Trinh
Khu Chợ Nhông, Thôn Nương Tụ
Số nhà 34, Ngách 13/90/44 Đường Lĩnh Nam
Lô đất số 88, liền kề 4
Số 48, ngõ 1194
D6B, 03 khu vườn đào
71/210 Đường Ngọc Hồi, Quốc Bảo
Số 10, ngõ 45A phố Võng Thị
Số nhà 25, Ngõ Thái Hòa
Số nhà 27, Tổ 1
Tòa nhà văn phòng Symphony, Đường Chu Huy Mân
Tầng 2, Số 16B Đường Thành
Số 41, Ngõ 182 Bạch Đằng
Số nhà 15 ngách 8, ngõ 14
Số 21 DV8, khu đất dịch vụ
Số nhà 221, phố Hoa Lâm
Tầng 7, 131 Phố Bùi Thị Xuân
Số 24 lô 5, KĐT An Lạc
Số nhà 07, ngách 27
Số nhà 81, Khu tái định cư X2A
NV2, 04
Tầng 8, Số 18 Khúc Thừa Dụ
Số 32, ngõ 12
Tầng 9B, tòa nhà Leadvisors Place
Số 10 Đường Nông Dân, Thôn Vân Lũng
Số 19, ngõ 145
Tầng 6, Toà nhà Geleximco Building
Tầng thương mại Tòa CT1 Skylight Minh Khai, Ngõ Hoà Bình 6
Tầng 7, Tòa nhà Việt á
Số nhà 4, ngõ 155
